                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6747,                 2.4272,                 1.2854,                0.69028,                 0.1885,                0.19119,                0.10356,                  1.563,                 1.5329,                 1.2334,              0.0033292,              0.0033292,              0.0033292
                      2,                 1.5973,                  1.624,                 1.2313,                 0.6348,                0.21977,                0.22139,                0.11884,                 1.5343,                 1.4213,                   1.21,               0.006656,               0.006656,               0.006656
                      3,                 1.6116,                 1.5854,                 1.2315,                0.38682,                 0.1957,                 0.1863,                0.09483,                 1.6436,                  1.612,                 1.2912,              0.0099761,              0.0099761,              0.0099761
                      4,                 1.6216,                 1.5356,                 1.2343,                0.44945,                0.19641,                0.19411,                0.10195,                 1.6097,                  1.484,                 1.2579,              0.0099703,              0.0099703,              0.0099703
                      5,                 1.5721,                 1.4204,                 1.2098,                0.48814,                0.23771,                 0.2528,                0.13685,                   1.48,                 1.2949,                 1.1805,              0.0099703,              0.0099703,              0.0099703
                      6,                 1.5356,                  1.351,                 1.1912,                0.49883,                0.25826,                0.27501,                0.15219,                 1.4498,                 1.2261,                 1.1625,              0.0099604,              0.0099604,              0.0099604
                      7,                 1.5133,                 1.3122,                 1.1788,                0.54412,                0.27222,                0.28194,                0.15755,                 1.4348,                 1.2195,                 1.1492,              0.0099505,              0.0099505,              0.0099505
                      8,                 1.4964,                 1.2772,                 1.1681,                  0.579,                0.27815,                0.29929,                0.16554,                 1.4133,                 1.1665,                  1.146,              0.0099406,              0.0099406,              0.0099406
                      9,                 1.4811,                 1.2567,                 1.1622,                0.57532,                0.28602,                0.31348,                0.17607,                 1.3956,                 1.1488,                 1.1345,              0.0099307,              0.0099307,              0.0099307
                     10,                 1.4714,                 1.2383,                  1.155,                0.58086,                0.28672,                0.31367,                 0.1775,                  1.386,                 1.1333,                 1.1282,              0.0099208,              0.0099208,              0.0099208
                     11,                  1.461,                 1.2226,                 1.1485,                0.53545,                0.30014,                0.32595,                 0.1844,                 1.3695,                 1.1144,                 1.1227,              0.0099109,              0.0099109,              0.0099109
                     12,                 1.4511,                 1.2072,                 1.1451,                0.59853,                0.30047,                0.33485,                0.18896,                 1.3662,                 1.0998,                 1.1147,               0.009901,               0.009901,               0.009901
                     13,                 1.4481,                 1.1985,                 1.1417,                0.58755,                0.30723,                0.33368,                0.18973,                 1.3509,                 1.0804,                 1.1088,              0.0098911,              0.0098911,              0.0098911
                     14,                 1.4347,                 1.1825,                 1.1362,                0.55531,                0.31226,                0.34688,                0.19984,                 1.3396,                 1.0717,                  1.102,              0.0098812,              0.0098812,              0.0098812
                     15,                 1.4332,                 1.1787,                 1.1334,                0.61287,                0.30903,                0.35473,                0.20339,                 1.3369,                 1.0634,                  1.102,              0.0098713,              0.0098713,              0.0098713
                     16,                  1.427,                 1.1689,                 1.1303,                0.60613,                0.31233,                0.35359,                0.20433,                 1.3282,                 1.0511,                 1.0974,              0.0098614,              0.0098614,              0.0098614
                     17,                 1.4208,                   1.16,                 1.1285,                0.59909,                0.31767,                0.35784,                0.20831,                 1.3246,                 1.0401,                 1.0944,              0.0098515,              0.0098515,              0.0098515
                     18,                 1.4203,                 1.1595,                 1.1266,                0.58139,                0.31603,                0.36526,                0.21265,                 1.3158,                 1.0321,                 1.0886,              0.0098416,              0.0098416,              0.0098416
                     19,                 1.4153,                 1.1512,                 1.1239,                0.64222,                0.32796,                 0.3694,                0.21442,                 1.3098,                  1.023,                 1.0874,              0.0098317,              0.0098317,              0.0098317
                     20,                 1.4098,                 1.1457,                 1.1205,                0.63582,                0.33519,                0.37258,                 0.2176,                 1.3082,                 1.0185,                 1.0837,              0.0098218,              0.0098218,              0.0098218
                     21,                  1.409,                 1.1401,                 1.1191,                0.64579,                0.33277,                0.37579,                0.22002,                  1.302,                 1.0094,                 1.0815,              0.0098119,              0.0098119,              0.0098119
                     22,                 1.4076,                 1.1386,                 1.1186,                0.66044,                0.32974,                0.37788,                0.22109,                 1.2918,                 1.0063,                 1.0771,               0.009802,               0.009802,               0.009802
                     23,                 1.4003,                 1.1307,                 1.1151,                0.63959,                0.34314,                0.38027,                0.22215,                 1.2914,                 1.0004,                 1.0761,              0.0097921,              0.0097921,              0.0097921
                     24,                 1.4035,                 1.1305,                 1.1163,                0.66683,                0.33845,                0.38383,                0.22376,                  1.288,                 0.9932,                 1.0743,              0.0097822,              0.0097822,              0.0097822
                     25,                 1.3946,                 1.1251,                 1.1127,                0.67019,                0.34345,                0.38818,                0.22645,                 1.2844,                0.98875,                 1.0719,              0.0097723,              0.0097723,              0.0097723
                     26,                 1.3952,                  1.123,                 1.1138,                0.66813,                0.34077,                0.38858,                0.22737,                 1.2814,                0.98565,                 1.0707,              0.0097624,              0.0097624,              0.0097624
                     27,                 1.3938,                 1.1179,                 1.1127,                0.67277,                0.34064,                0.39045,                0.22931,                 1.2787,                0.98056,                 1.0691,              0.0097525,              0.0097525,              0.0097525
                     28,                 1.3896,                 1.1131,                 1.1094,                0.70709,                0.34453,                0.39151,                0.22985,                 1.2769,                 0.9776,                 1.0684,              0.0097426,              0.0097426,              0.0097426
                     29,                 1.3873,                 1.1107,                 1.1087,                0.66143,                0.35061,                0.39466,                 0.2323,                 1.2732,                0.97215,                 1.0673,              0.0097327,              0.0097327,              0.0097327
                     30,                 1.3841,                 1.1071,                 1.1082,                0.66762,                  0.352,                0.39682,                0.23424,                 1.2714,                0.96891,                 1.0662,              0.0097228,              0.0097228,              0.0097228
                     31,                 1.3835,                 1.1053,                 1.1055,                0.62833,                0.35661,                0.39714,                0.23443,                  1.269,                 0.9674,                 1.0648,              0.0097129,              0.0097129,              0.0097129
                     32,                 1.3813,                 1.1019,                 1.1048,                0.62326,                0.35805,                0.39674,                0.23379,                 1.2671,                0.96482,                 1.0638,               0.009703,               0.009703,               0.009703
                     33,                 1.3804,                 1.1026,                 1.1052,                 0.6253,                0.35946,                 0.4002,                0.23632,                 1.2656,                0.96257,                 1.0628,              0.0096931,              0.0096931,              0.0096931
                     34,                 1.3831,                 1.1003,                 1.1041,                0.62966,                0.35887,                0.40182,                0.23708,                 1.2644,                0.96106,                 1.0619,              0.0096832,              0.0096832,              0.0096832
                     35,                 1.3802,                 1.0994,                 1.1024,                0.66908,                0.35842,                0.40276,                0.23781,                 1.2624,                0.95945,                 1.0608,              0.0096733,              0.0096733,              0.0096733
                     36,                 1.3765,                 1.0922,                 1.1017,                0.66956,                0.36193,                0.40403,                 0.2395,                 1.2614,                0.95797,                 1.0601,              0.0096634,              0.0096634,              0.0096634
                     37,                 1.3795,                 1.0945,                 1.1021,                0.67077,                0.35909,                0.40407,                0.23979,                 1.2605,                0.95647,                 1.0594,              0.0096535,              0.0096535,              0.0096535
                     38,                 1.3774,                 1.0918,                 1.1007,                0.68135,                0.35445,                0.40583,                0.24125,                 1.2595,                0.95583,                 1.0588,              0.0096436,              0.0096436,              0.0096436
                     39,                 1.3725,                 1.0873,                 1.1006,                0.67214,                0.36044,                0.40637,                 0.2419,                 1.2592,                0.95484,                 1.0586,              0.0096337,              0.0096337,              0.0096337
                     40,                 1.3722,                 1.0882,                    1.1,                0.67479,                0.35934,                0.40649,                 0.2419,                 1.2587,                0.95389,                 1.0582,              0.0096238,              0.0096238,              0.0096238
                     41,                  1.374,                 1.0879,                 1.0989,                0.68169,                0.35785,                0.40697,                0.24229,                 1.2581,                0.95263,                 1.0577,              0.0096139,              0.0096139,              0.0096139
                     42,                 1.3696,                 1.0829,                 1.0972,                0.67508,                0.35989,                0.40767,                0.24303,                 1.2573,                0.95142,                  1.057,               0.009604,               0.009604,               0.009604
                     43,                 1.3683,                 1.0825,                 1.0961,                0.67988,                0.36003,                0.40863,                0.24366,                 1.2566,                0.95075,                 1.0566,              0.0095941,              0.0095941,              0.0095941
                     44,                 1.3673,                 1.0807,                 1.0959,                0.68433,                0.36063,                0.40943,                0.24397,                 1.2557,                0.94941,                  1.056,              0.0095842,              0.0095842,              0.0095842
                     45,                 1.3663,                  1.081,                 1.0965,                0.68592,                0.36137,                0.40998,                0.24433,                 1.2547,                  0.949,                 1.0556,              0.0095743,              0.0095743,              0.0095743
                     46,                 1.3646,                  1.077,                 1.0946,                0.68815,                0.36126,                0.41124,                 0.2454,                 1.2543,                0.94853,                 1.0554,              0.0095644,              0.0095644,              0.0095644
                     47,                 1.3673,                 1.0794,                 1.0962,                0.68785,                0.36111,                 0.4121,                0.24582,                 1.2538,                0.94788,                 1.0552,              0.0095545,              0.0095545,              0.0095545
                     48,                 1.3679,                 1.0812,                 1.0946,                0.68576,                0.36313,                0.41308,                0.24668,                 1.2536,                0.94697,                 1.0549,              0.0095446,              0.0095446,              0.0095446
                     49,                 1.3651,                 1.0765,                 1.0934,                0.68921,                0.36235,                0.41312,                 0.2465,                 1.2531,                0.94638,                 1.0546,              0.0095347,              0.0095347,              0.0095347
                     50,                 1.3639,                 1.0782,                 1.0946,                0.69066,                0.36241,                0.41471,                0.24745,                 1.2529,                0.94582,                 1.0543,              0.0095248,              0.0095248,              0.0095248
                     51,                 1.3624,                 1.0747,                 1.0938,                0.69175,                 0.3635,                 0.4154,                0.24787,                 1.2525,                0.94546,                 1.0542,              0.0095149,              0.0095149,              0.0095149
                     52,                 1.3613,                 1.0725,                 1.0926,                0.69119,                0.36367,                0.41595,                0.24808,                 1.2521,                0.94511,                 1.0538,               0.009505,               0.009505,               0.009505
                     53,                 1.3623,                 1.0736,                 1.0921,                0.69055,                0.36538,                0.41652,                0.24822,                 1.2514,                 0.9446,                 1.0535,              0.0094951,              0.0094951,              0.0094951
                     54,                 1.3627,                 1.0709,                  1.091,                0.69052,                0.36643,                0.41705,                0.24857,                 1.2511,                0.94402,                 1.0532,              0.0094852,              0.0094852,              0.0094852
                     55,                 1.3594,                  1.068,                 1.0919,                0.69232,                0.36641,                0.41737,                0.24893,                 1.2509,                0.94364,                 1.0531,              0.0094753,              0.0094753,              0.0094753
                     56,                  1.355,                 1.0654,                 1.0897,                0.69068,                0.36685,                 0.4175,                  0.249,                 1.2506,                0.94321,                 1.0529,              0.0094654,              0.0094654,              0.0094654
                     57,                 1.3578,                 1.0685,                 1.0906,                0.68465,                0.36777,                0.41793,                0.24951,                 1.2501,                 0.9424,                 1.0527,              0.0094555,              0.0094555,              0.0094555
                     58,                 1.3592,                 1.0681,                 1.0912,                0.68185,                0.37267,                0.41896,                0.24933,                 1.2498,                0.94197,                 1.0523,              0.0094456,              0.0094456,              0.0094456
                     59,                 1.3607,                 1.0663,                 1.0899,                0.67988,                0.37466,                0.42026,                 0.2504,                 1.2494,                0.94145,                  1.052,              0.0094357,              0.0094357,              0.0094357
                     60,                  1.358,                 1.0641,                 1.0896,                0.68132,                0.37527,                0.42101,                  0.251,                 1.2492,                0.94093,                 1.0518,              0.0094258,              0.0094258,              0.0094258
                     61,                 1.3596,                 1.0647,                 1.0898,                0.68366,                0.37523,                0.42127,                0.25118,                  1.249,                0.94046,                 1.0515,              0.0094159,              0.0094159,              0.0094159
                     62,                 1.3589,                 1.0655,                 1.0906,                0.68373,                0.37399,                0.42167,                0.25209,                 1.2486,                0.93967,                 1.0514,               0.009406,               0.009406,               0.009406
